,mpl_hostname,mpl_letter,mst_metratio,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mpl_orbeccen,mpl_orbincl,mpl_massj,mpl_radj,mpl_dens,mpl_eqt,mpl_insol,mst_teff,mst_mass,mst_rad,mst_age,mst_lum,mpl_status
335,HD 125612,b,[Fe/H],Radial Velocity,3,557.04,1.372,0.4553,,,,,,,5841.0,1.11,1.05,1.77,0.06,3
336,HD 125612,c,[Fe/H],Radial Velocity,3,4.15514,0.0524,0.049,,,,,,,5841.0,1.11,1.05,1.77,0.06,3
337,HD 125612,d,[Fe/H],Radial Velocity,3,2835.0,4.06,0.1172,,,,,,,5841.0,1.11,1.05,1.77,0.06,3
338,HAT-P-2,b,[Fe/H],Transit,1,5.6335158,0.06814,0.5172,,,,,,,6380.0,1.33,1.39,1.44,0.53,3
339,HD 148164,c,[Fe/H],Radial Velocity,2,5062.0,6.15,0.125,,,,,,,6032.0,1.21,1.34,2.41,0.33,3
340,HD 148164,b,[Fe/H],Radial Velocity,2,328.55,0.993,0.587,,,,,,,6032.0,1.21,1.34,2.41,0.33,3
341,HD 148284,b,[Fe/H],Radial Velocity,1,339.331,0.974,0.38926,,,,,,,5572.0,1.07,1.48,8.66,0.28,3
342,HD 149143,b,[Fe/H],Radial Velocity,1,4.07182,0.053,0.0167,,,,,,,5856.0,1.2,1.44,4.28,0.35,3
343,HD 1605,c,[Fe/H],Radial Velocity,2,2149.0,3.584,0.099,,,,,,,4915.0,1.33,3.49,4.36,0.81,3
344,HD 39091,c,[Fe/H],Transit,2,6.2679,0.06839,0.0,87.456,0.01517,0.182,2.97,1170.0,309.0,6037.0,1.094,1.1,2.98,0.16,3
345,MOA-2016-BLG-319L,b,,Microlensing,1,,0.95,,,0.62,,,,,,0.15,,,,3
346,MOA-2011-BLG-291L,b,,Microlensing,1,,0.69,,,0.05663,,,,,,0.15,,,,3
